0,0.43676,0.97561,205
0.5,0.3096,0.80645,248
1,0.11836,0.41237,485
1.5,0.016929,0.089969,2223
2,0.0014637,0.01528,13089
2.5,0.00016491,0.0028,20000
3,2.7181e-05,0.00045,20000
3.5,8.0122e-06,0.0001,20000
4,0,0,10000
